MIDA_ID,c1,c2,c3,MIDA_material,HU,Source
1,0,0.988235,1,Dura,50,
2,1,0.780392,0,Cerebellum Gray Matter,9999,
3,0.658824,1,1,Pineal Body,50,
4,0,0,1,Amygdala,9999,
5,1,0.423529,1,Hippocampus,9999,
6,0.368627,0.588235,0.54902,CSF Ventricles,15,
7,0,0.384314,0.466667,Caudate Nucleus,9999,
8,0.823529,0.54902,1,Putamen,9999,
9,0.713726,0.121569,0.341176,Cerebellum White Matter,8888,
10,0.521569,0.521569,0.533333,Brain Gray Matter,9999,
11,0.807843,0,1,Brainstem Midbrain,9999,
12,1,1,1,Brain White Matter,8888,
13,0.917647,0.521569,0,Spinal Cord,9999,
14,1,1,0,Brainstem Pons,9999,
15,0.686275,1,0.423529,Brainstem Medulla,9999,
16,0.890196,0.905882,0,Nucleus Accumbens,9999,
17,0.894118,0.796078,1,Globus Pallidus,9999,
18,0,1,0,Optic Tract,8888,
19,1,0.686275,0,Hypophysis or Pituitary Gland,9999,
20,1,1,0,Mammillary Body,9999,
21,0.890196,0.356863,0.505882,Hypothalamus,9999,
22,0.72549,0.807843,1,Commissura (Anterior),8888,
23,0.85098,0,0.247059,Commissura (Posterior),8888,
24,1,0,0,Blood Arteries,37,
25,0,0,1,Blood Veins,37,
26,0,0,0,Air Internal - Ethmoidal Sinus,-1000,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
27,0,0,0,Air Internal - Frontal Sinus,-1000,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
28,0,0,0,Air Internal - Maxillary Sinus,-1000,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
29,0,0,0,Air Internal - Sphenoidal Sinus,-1000,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
30,0,0,0.54902,Air Internal - Mastoid,-1000,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
31,0,0,0,Air Internal - Nasal/Pharynx,-1000,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
32,0.411765,0,0,CSF General,15,
33,0.905882,0.45098,1,Ear Cochlea,50,TBD
34,1,0.223529,0.211765,Ear Semicircular Canals,50,TBD
35,0,0.913725,0.843137,Ear Auricular Cartilage (Pinna),50,TBD
36,0,0.411765,0,Mandible,700,TBD
37,0.588235,0,0.301961,Mucosa,50,TBD
38,0.45098,0.776471,0.12549,Muscle (General),55,
39,0.85098,0.713726,1,Nasal Septum (Cartilage),50,TBD
40,1,1,0.588235,Skull,900,
41,1,0,1,Teeth,400,
42,1,0.588235,0,Tongue,55,TBD
43,0.690196,0.478431,1,Adipose Tissue,-120,
44,0,0.988235,0.368627,Vertebra - C1 (atlas),400,
45,0.384314,0.823529,1,Vertebra - C2 (axis),400,
46,1,0,0.988235,Vertebra - C3,400,
47,0.203922,0.466667,0.368627,Vertebra - C4,400,
48,0,0.137255,0.862745,Vertebra - C5,400,
49,1,0.603922,0.780392,Intervertebral Discs,50,TBD
50,0,0,0,Background,-1000,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
51,1,0.72549,0.564706,Epidermis/Dermis,50,TBD
52,0.745098,0,0,Skull Diplo ,800,
53,0.309804,0,0.294118,Skull Inner Table,1000,
54,0,0.662745,0.843137,Skull Outer Table,1000,
55,0,0,1,Eye Lens,90,Looking at real subject
56,1,1,1,Eye Retina/Choroid/Sclera,55,Looking at real subject
57,0,0.576471,0.356863,Eye Vitreous,10,Looking at real subject
58,0.576471,0,0.164706,Eye Cornea,55,Looking at real subject
59,0.494118,0.741176,1,Eye Aqueous,90,Looking at real subject
60,1,0.337255,0,Muscle - Platysma,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
61,1,0,0.396078,Tendon - Galea Aponeurotica,95,Imaging of Tendons and Bursae | Radiology Key
62,0.521569,0.239216,0.352941,Subcutaneous Adipose Tissue,-120,
63,1,0.196078,0,Muscle - Temporalis/Temporoparietalis,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
64,1,0.67451,0.494118,Muscle - Occipitiofrontalis - Frontal Belly,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
65,0.815686,0.352941,0.423529,Muscle - Lateral Pterygoid,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
66,1,0.717647,0,Muscle - Masseter,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
67,1,0.45098,0.254902,Muscle - Splenius Capitis,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
68,0.733333,0.098039,0.294118,Muscle - Sternocleidomastoid,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
69,0.788235,0.635294,1,Muscle - Occipitiofrontalis - Occipital Belly,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
70,0.282353,0.396078,0.407843,Muscle - Trapezius,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
71,1,0.309804,0.309804,Muscle - Mentalis,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
72,0.533333,0.603922,0.913725,Muscle - Depressor Anguli Oris,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
73,1,0.67451,0,Muscle - Depressor Labii,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
74,0,0.466667,0.913725,Muscle - Nasalis,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
75,1,0.54902,0.647059,Muscle - Orbicularis Oris,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
76,0.945098,0.12549,0.254902,Muscles - Procerus,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
77,0,0.407843,0,Muscle - Levator Labii Superioris,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
78,0,0.564706,0.717647,Muscle - Zygomaticus Major,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
79,0.211765,0.776471,0.533333,Muscle - Orbicularis Oculi,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
80,0.294118,0,0,Muscle - Levator Scapulae,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
81,0.843137,0.619608,0.239216,Muscle - Medial Pterygoid,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
82,1,0.239216,0.282353,Muscle - Zygomaticus Minor,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
83,0.521569,0.494118,0.635294,Muscles - Risorius,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
84,1,0.435294,0.098039,Muscle - Buccinator,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
85,1,1,1,Ear Auditory Canal,50,
86,0.901961,0.309804,0.266667,Ear Pharyngotympanic Tube,50,
87,0.760784,0.533333,0,Hyoid Bone,130,Hyoid bone development: An assessment of optimal CT scanner parameters and 3D volume rendering techniques - PMC
88,0.858824,0.929412,0.619608,Submandibular Gland,50,
89,0.505882,0.423529,0.521569,Parotid Gland,50,
90,1,0.54902,0.45098,Sublingual Gland,50,
91,0.619608,0.717647,1,Muscle - Superior Rectus,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
92,1,0.67451,0.168627,Muscle - Medial Rectus,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
93,0.266667,0.282353,0.576471,Muscle - Lateral Rectus,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
94,0.945098,0,0.745098,Muscle - Inferior Rectus,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
95,0,1,1,Muscle - Superior Oblique,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
96,1,1,0,Muscle - Inferior Oblique,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
97,0,0,0,Air Internal - Oral Cavity,-1000,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
98,0,0.282353,0.043137,Tendon - Temporalis Tendon,95,Imaging of Tendons and Bursae | Radiology Key
99,0,0.847059,0,Substantia Nigra,9999,
100,0.360784,0,0.862745,Cerebral Peduncles,8888,
101,1,0,0,Optic Chiasm,8888,
102,0,0.984314,0,Cranial Nerve I - Olfactory,9999,
103,0.25098,0.568627,0.639216,Cranial Nerve II - Optic,9999,
104,0,0,1,Cranial Nerve III - Oculomotor,9999,
105,0.65098,0.196078,0.458824,Cranial Nerve IV - Trochlear,9999,
106,0.458824,0.290196,0.792157,Cranial Nerve V - Trigeminal,9999,
107,0.929412,0,0.929412,Cranial Nerve V2 - Maxillary Division,9999,
108,1,0.890196,0,Cranial Nerve V3 - Mandibular Division,9999,
109,1,0,1,Cranial Nerve VI - Abducens,9999,
110,0.513726,0.803922,0.556863,Cranial Nerve VII - Facial,9999,
111,0.623529,1,1,Cranial Nerve VIII - Vestibulocochlear,9999,
112,0,1,0,Cranial Nerve IX - Glossopharyngeal,9999,
113,0.65098,0.376471,0.596078,Cranial Nerve X - Vagus,9999,
114,0.082353,0.458824,0.207843,Cranial Nerve XI - Accessory,9999,
115,1,1,0,Cranial Nerve XII - Hypoglossal,9999,
116,0,0,1,Thalamus,9999,
